id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
560841180512570346,Cozy private room in 2nd Floor @ Downtown Toronto,Trinity-Bellwoods,43.64728943786675,-79.42038437743379,Private room in residential home,Private room,1,1.0,1.0,47.0,1,60,,,,,,,,False,265441693
560842840468079243,201-B2 bedroom with private bathroom,Trinity-Bellwoods,43.653313,-79.408836,Private room in residential home,Private room,1,1.0,1.0,65.0,28,90,,,,,,,,True,354779562
560848623202367352,201-B1 bedroom with private bathroom,Trinity-Bellwoods,43.653313,-79.408836,Private room in residential home,Private room,1,1.0,1.0,65.0,28,90,,,,,,,,True,354779562
560851847006799512,Private room in 2nd Floor @ Downtown Toronto,Trinity-Bellwoods,43.648249104332045,-79.42195298806631,Private room in residential home,Private room,1,1.0,1.0,46.0,1,60,,,,,,,,False,265441693
560860748724288369,Bright private room in Main Floor@Downtown Toronto,Trinity-Bellwoods,43.64705586433677,-79.42179186059579,Private room in residential home,Private room,1,1.0,1.0,47.0,1,60,,,,,,,,False,270608788
560868439804127856,Bright private room in Main Floor-Downtown Toronto,Trinity-Bellwoods,43.64802,-79.42008,Private room in residential home,Private room,1,1.0,1.0,47.0,1,60,,,,,,,,False,270608788
560879673860418809,Cozy Private room in share Basement house,Trinity-Bellwoods,43.64710809079268,-79.42016145934747,Private room in residential home,Private room,1,1.0,1.0,49.0,1,60,,,,,,,,False,270625289
560888457201602690,Super Cozy Basement private room@ private bathroom,Trinity-Bellwoods,43.64683917176086,-79.41709407913775,Private room in residential home,Private room,2,1.0,1.0,54.0,1,60,,,,,,,,False,270625289
560903472546138649,Entertainment District Loft With Amazing Views,Kensington-Chinatown,43.65085888670398,-79.39208029904393,Entire condominium (condo),Entire home/apt,4,2.0,2.0,157.0,180,365,,,,,,,,False,254569147
560937397010619871,Master room with own bathroom @ Kensington Market,Kensington-Chinatown,43.65246797946772,-79.40392946458326,Private room in residential home,Private room,2,1.0,1.0,52.0,1,60,,,,,,,,False,382467146
